path,Statcast,PitchFX,Pre-tracking
gameData.players.ID112621.primaryPosition.name,N/A,N/A,str
gameData.players.ID112621.primaryPosition.type,N/A,N/A,str
gameData.players.ID112621.strikeZoneBottom,N/A,N/A,float
gameData.players.ID112621.strikeZoneTop,N/A,N/A,float
gameData.players.ID112621.useLastName,N/A,N/A,str
gameData.players.ID112621.useName,N/A,N/A,str
gameData.players.ID112621.weight,N/A,N/A,int
gameData.players.ID114374.active,N/A,N/A,bool
gameData.players.ID114374.batSide.code,N/A,N/A,str
gameData.players.ID114374.batSide.description,N/A,N/A,str
gameData.players.ID114374.birthCity,N/A,N/A,str
gameData.players.ID114374.birthCountry,N/A,N/A,str
gameData.players.ID114374.birthDate,N/A,N/A,str
gameData.players.ID114374.birthStateProvince,N/A,N/A,str
gameData.players.ID114374.boxscoreName,N/A,N/A,str
gameData.players.ID114374.currentAge,N/A,N/A,int
gameData.players.ID114374.draftYear,N/A,N/A,int
gameData.players.ID114374.firstLastName,N/A,N/A,str
gameData.players.ID114374.firstName,N/A,N/A,str
gameData.players.ID114374.fullFMLName,N/A,N/A,str
gameData.players.ID114374.fullLFMName,N/A,N/A,str
gameData.players.ID114374.fullName,N/A,N/A,str
gameData.players.ID114374.gender,N/A,N/A,str
gameData.players.ID114374.height,N/A,N/A,str
gameData.players.ID114374.id,N/A,N/A,int
gameData.players.ID114374.initLastName,N/A,N/A,str
gameData.players.ID114374.isPlayer,N/A,N/A,bool
gameData.players.ID114374.isVerified,N/A,N/A,bool
gameData.players.ID114374.lastFirstName,N/A,N/A,str
gameData.players.ID114374.lastInitName,N/A,N/A,str
gameData.players.ID114374.lastName,N/A,N/A,str
gameData.players.ID114374.lastPlayedDate,N/A,N/A,str
gameData.players.ID114374.link,N/A,N/A,str
gameData.players.ID114374.middleName,N/A,N/A,str
gameData.players.ID114374.mlbDebutDate,N/A,N/A,str
gameData.players.ID114374.nameFirstLast,N/A,N/A,str
gameData.players.ID114374.nameSlug,N/A,N/A,str
gameData.players.ID114374.pitchHand.code,N/A,N/A,str
gameData.players.ID114374.pitchHand.description,N/A,N/A,str
gameData.players.ID114374.primaryNumber,N/A,N/A,str
gameData.players.ID114374.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID114374.primaryPosition.code,N/A,N/A,str
gameData.players.ID114374.primaryPosition.name,N/A,N/A,str
gameData.players.ID114374.primaryPosition.type,N/A,N/A,str
gameData.players.ID114374.strikeZoneBottom,N/A,N/A,float
gameData.players.ID114374.strikeZoneTop,N/A,N/A,float
gameData.players.ID114374.useLastName,N/A,N/A,str
gameData.players.ID114374.useName,N/A,N/A,str
gameData.players.ID114374.weight,N/A,N/A,int
gameData.players.ID114376.active,N/A,N/A,bool
gameData.players.ID114376.batSide.code,N/A,N/A,str
gameData.players.ID114376.batSide.description,N/A,N/A,str
gameData.players.ID114376.birthCity,N/A,N/A,str
gameData.players.ID114376.birthCountry,N/A,N/A,str
gameData.players.ID114376.birthDate,N/A,N/A,str
gameData.players.ID114376.birthStateProvince,N/A,N/A,str
gameData.players.ID114376.boxscoreName,N/A,N/A,str
gameData.players.ID114376.currentAge,N/A,N/A,int
gameData.players.ID114376.draftYear,N/A,N/A,int
gameData.players.ID114376.firstLastName,N/A,N/A,str
gameData.players.ID114376.firstName,N/A,N/A,str
gameData.players.ID114376.fullFMLName,N/A,N/A,str
gameData.players.ID114376.fullLFMName,N/A,N/A,str
gameData.players.ID114376.fullName,N/A,N/A,str
gameData.players.ID114376.gender,N/A,N/A,str
gameData.players.ID114376.height,N/A,N/A,str
gameData.players.ID114376.id,N/A,N/A,int
gameData.players.ID114376.initLastName,N/A,N/A,str
gameData.players.ID114376.isPlayer,N/A,N/A,bool
gameData.players.ID114376.isVerified,N/A,N/A,bool
gameData.players.ID114376.lastFirstName,N/A,N/A,str
gameData.players.ID114376.lastInitName,N/A,N/A,str
gameData.players.ID114376.lastName,N/A,N/A,str
gameData.players.ID114376.lastPlayedDate,N/A,N/A,str
gameData.players.ID114376.link,N/A,N/A,str
gameData.players.ID114376.middleName,N/A,N/A,str
gameData.players.ID114376.mlbDebutDate,N/A,N/A,str
gameData.players.ID114376.nameFirstLast,N/A,N/A,str
gameData.players.ID114376.nameSlug,N/A,N/A,str
gameData.players.ID114376.pitchHand.code,N/A,N/A,str
gameData.players.ID114376.pitchHand.description,N/A,N/A,str
gameData.players.ID114376.primaryNumber,N/A,N/A,str
gameData.players.ID114376.primaryPosition.abbreviation,N/A,N/A,str
gameData.players.ID114376.primaryPosition.code,N/A,N/A,str
gameData.players.ID114376.primaryPosition.name,N/A,N/A,str
gameData.players.ID114376.primaryPosition.type,N/A,N/A,str
gameData.players.ID114376.strikeZoneBottom,N/A,N/A,float
gameData.players.ID114376.strikeZoneTop,N/A,N/A,float
gameData.players.ID114376.useLastName,N/A,N/A,str
gameData.players.ID114376.useName,N/A,N/A,str
gameData.players.ID114376.weight,N/A,N/A,int
gameData.players.ID114833.active,N/A,N/A,bool
gameData.players.ID114833.batSide.code,N/A,N/A,str
gameData.players.ID114833.batSide.description,N/A,N/A,str
gameData.players.ID114833.birthCity,N/A,N/A,str
gameData.players.ID114833.birthCountry,N/A,N/A,str
gameData.players.ID114833.birthDate,N/A,N/A,str
gameData.players.ID114833.birthStateProvince,N/A,N/A,str
gameData.players.ID114833.boxscoreName,N/A,N/A,str
gameData.players.ID114833.currentAge,N/A,N/A,int
gameData.players.ID114833.draftYear,N/A,N/A,int
gameData.players.ID114833.firstLastName,N/A,N/A,str
gameData.players.ID114833.firstName,N/A,N/A,str
gameData.players.ID114833.fullFMLName,N/A,N/A,str
gameData.players.ID114833.fullLFMName,N/A,N/A,str
gameData.players.ID114833.fullName,N/A,N/A,str
gameData.players.ID114833.gender,N/A,N/A,str
gameData.players.ID114833.height,N/A,N/A,str
gameData.players.ID114833.id,N/A,N/A,int
gameData.players.ID114833.initLastName,N/A,N/A,str
gameData.players.ID114833.isPlayer,N/A,N/A,bool
gameData.players.ID114833.isVerified,N/A,N/A,bool
gameData.players.ID114833.lastFirstName,N/A,N/A,str
